Algorithm,square1,eight1,square12,eight12,square1_pose_0,square1_pose_1,eight1_pose_0,eight1_pose_1
amcl,"60.6456, 3.2897","43.1047, 3.3649","58.7803, 3.7225","63.3270, 3.2633","160.4638, 4.7994","1049.6083, 1.5946","174.2956, 3.7124","914.8306, 3.7921"
mrpt,"69.0135, 3.7196","71.6953, 3.3112","1004.4982, 44.4244","968.4762, 67.9386","69.8422, 3.7388","69.5616, 3.7796","71.7484, 3.3656","70.6601, 3.5562"
