Run,Mean Position Error,Mean Angle Error
1,78.2810,3.8130
2,84.4059,3.7533
3,87.1697,3.9643
4,87.8105,3.9789
5,86.4689,3.9281
6,85.4869,3.6683
7,83.1140,3.8563
8,86.9102,3.6853
9,83.5403,3.7235
10,86.3911,3.7714

Average,84.9578,3.8142
