Run,Mean Position Error,Mean Angle Error
1,60.1307,3.3491
2,60.1327,3.3509
3,61.8323,3.1526
4,61.8412,3.1480
5,60.1382,3.3476
6,60.1360,3.3485
7,60.1372,3.3504
8,60.1385,3.3488
9,61.8323,3.1511
10,60.1372,3.3504

Average,60.6456,3.2897
