156,1385806,4837,13755,8883.37
156,1519993,4676,15783,9743.54
156,1599553,5265,14582,10253.5
156,1669254,5314,14261,10700.3
156,1587983,4749,13995,10179.4
156,1504683,5032,14358,9645.4
156,1521154,4563,14219,9750.99
156,1519251,4596,15197,9738.79
156,1549113,4723,15743,9930.21
156,1543684,4507,14534,9895.41
180,1617845,4667,13731,8988.03
180,1642797,4995,16342,9126.65
180,1567128,4785,13325,8706.27
180,1698049,4452,15663,9433.61
180,1670970,4610,14454,9283.17
180,1671691,4336,14274,9287.17
180,1644912,4370,14386,9138.4
180,1691190,4244,14646,9395.5
180,1759801,4490,14047,9776.67
180,1681499,4024,16046,9341.66
218,1892886,4545,12019,8682.96
218,1875218,4390,13806,8601.92
218,1925399,4303,13039,8832.11
218,1945707,4516,12871,8925.26
218,1945603,4473,12329,8924.78
218,1942768,4276,12697,8911.78
218,1859897,3809,13015,8531.64
218,1943482,4549,12385,8915.06
218,1895103,4331,12543,8693.13
218,1936004,4763,13964,8880.75
194,1853324,4228,16097,9553.22
194,1749924,4297,13019,9020.23
194,1756147,4578,13522,9052.3
194,1811296,4380,13380,9336.58
194,1753416,4041,13068,9038.23
194,1745863,3915,13057,8999.29
194,1621739,4120,13087,8359.48
194,1666284,4057,12356,8589.09
194,1827379,4633,13115,9419.48
194,1683425,4234,12663,8677.45
