Run,Mean Position Error,Mean Angle Error
1,72.7851,3.6145
2,73.4020,3.6902
3,73.4898,3.6027
4,73.5405,3.7142
5,71.4144,3.7943
6,72.3971,3.7728
7,72.5486,3.8464
8,72.1039,3.6914
9,76.5414,3.7376
10,73.7992,3.7019

Average,73.2022,3.7166
