Run,Mean Position Error,Mean Angle Error
1,2997.0829,6.1092
2,2997.0834,6.1089
3,2997.0860,6.1085
4,2997.1254,6.1002
5,2997.0841,6.1090
6,2997.0933,6.1078
7,2997.0631,6.1037
8,2997.0759,6.1047
9,2997.0907,6.1082
10,2997.0714,6.1060

Average,2997.0856,6.1066
