Algorithm,square2_pose_0,square2_pose_1,square2_pose_2,square2_pose_3,square2_pose_4,eight22_pose_0,eight22_pose_1,eight22_pose_2,eight22_pose_3,eight22_pose_4
amcl,"71.6976, 4.7770","130.1315, 5.4861","532.4050, 36.8883","786.4399, 68.6917","883.1256, 77.5563","92.9297, 5.0369","90.3496, 5.1960","220.5612, 24.2064","564.0530, 73.5735","578.6713, 78.8485"
mrpt,"83.7314, 4.1244","84.5169, 4.1365","84.2694, 4.1488","85.0632, 4.1173","84.1813, 4.1327","97.4718, 4.0833","97.4041, 4.0923","97.7682, 4.1359","97.5529, 4.1038","97.1346, 4.0717"
