Run,Mean Position Error,Mean Angle Error
1,952.0646,4.5235
2,890.0138,3.3057
3,890.0078,3.3071
4,952.0639,4.5182
5,890.0018,3.3090
6,952.0580,4.5201
7,952.0503,4.5197
8,890.0146,3.3072
9,890.0125,3.3043
10,890.0183,3.3064

Average,914.8306,3.7921
