Run,Mean Position Error,Mean Angle Error
1,141.3944,3.3021
2,134.6729,3.3169
3,137.6047,3.5019
4,136.9203,3.3086
5,137.4627,3.4428
6,143.2101,3.3808
7,136.5342,3.6743
8,142.4123,3.4619
9,139.4222,3.5581
10,143.2488,3.4685

Average,139.2883,3.4416
