Run,Mean Position Error,Mean Angle Error
1,71.4413,3.2347
2,74.0794,3.4983
3,75.9221,3.4107
4,778.5936,9.9169
5,75.7636,3.3567
6,75.5998,3.4029
7,74.5782,3.4764
8,73.0383,3.2483
9,76.1123,3.4945
10,75.2682,3.5326

Average,145.0397,4.0572
