Run,Mean Position Error,Mean Angle Error
1,76.8051,3.6919
2,76.6733,3.6922
3,70.7326,3.7364
4,68.5217,3.7969
5,70.8643,3.6927
6,75.8773,3.7251
7,72.2102,3.7310
8,70.1424,3.5910
9,73.4906,3.6575
10,72.4846,3.6469

Average,72.7802,3.6961
