Run,Mean Position Error,Mean Angle Error
1,1187.6099,88.7173
2,1187.5968,88.7165
3,1187.6261,88.7122
4,1187.6374,88.7143
5,1187.6368,88.7171
6,1187.6363,88.7187
7,1187.6397,88.7157
8,1187.6045,88.7123
9,1187.6262,88.7144
10,1187.6294,88.7150

Average,1187.6243,88.7154
