Run,Mean Position Error,Mean Angle Error
1,174.2508,4.3100
2,156.9513,4.4332
3,166.5235,4.2876
4,165.3472,4.2490
5,153.3430,4.7222
6,167.1102,4.2672
7,168.8761,4.4131
8,142.9398,4.4899
9,170.0867,4.3876
10,164.3420,4.1671

Average,162.9771,4.3727
