time_stamp[s],x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm]
0.04999518394470215,0.6650507450103732,-30.493573471903805,-0.03531355436781669,-250.34144301905948,40.50890269942743,-0.07040954822307442,260.8555376720849,2.010852325723339
0.09999561309814453,0.6684333086013766,-30.49070127308369,-0.03534248782661509,-264.8576467341259,32.35072387553811,-0.07128519227432845,272.8610340403456,2.0593652691400677
0.15001940727233887,0.666097551584241,-30.490406975150112,-0.03533758064735015,-292.61127332092923,42.56149237898634,-0.0784907512679615,302.23864125081803,2.4724945491689696
0.20003104209899902,0.6655462086200686,-30.493741109967235,-0.0353261554496358,-300.10954893519994,42.72517546504537,-0.08103366721974747,309.5588273708127,2.618847516471934
0.2500128746032715,0.6659671664237948,-30.49150034785271,-0.03538751802676465,-317.01687414537656,54.558850780218606,-0.08179321179122796,328.8707191145888,2.658850398080309
0.3000297546386719,0.661645829677579,-30.494443327188495,-0.035351466127587106,-313.02413525039367,59.51697609518093,-0.0880678021642844,326.34464125866094,3.0204235662961647
0.35001230239868164,0.6702810525894137,-30.495465919375423,-0.03538614571086174,-310.0342955222552,61.152435760326256,-0.08756308022654952,323.9393026275845,2.989518135679382
0.4000265598297119,0.6627559661865207,-30.497397482395176,-0.0353634412028736,-315.1926980538178,70.60314331029174,-0.08553761928988508,331.6413532458774,2.8747686449235363
0.4500572681427002,0.6640337407588931,-30.50034418702126,-0.03532158120692519,-323.12512980540833,67.95462467245237,-0.08784480618151058,338.4269541910729,3.009359117459864
0.5000343322753906,0.6699308753013583,-30.497248470783237,-0.0353057831811443,-329.6358657737931,63.9592677080718,-0.09022430268040912,343.546143550818,3.1465993844147895
0.5500555038452148,0.6634376943111392,-30.485718697309498,-0.03540414632664968,-310.4562663519855,50.041754465457245,-0.0815253763819297,321.3722828431776,2.6425518281194704
0.5999853610992432,0.6601110100746127,-30.48859834671021,-0.03534226141042285,-276.97279340324513,69.06711289006577,-0.08183258549393162,294.9429932255314,2.6636993581804593
0.6500420570373535,0.6648756563663455,-30.49275949597359,-0.035347086318287646,-291.20065043057235,52.988370912528225,-0.07464053279024102,303.5697357318196,2.251348645366143
0.7000319957733154,0.6637655198574038,-30.48968426883221,-0.035359486438391485,-290.50398171614086,44.37121143125017,-0.08039153832600947,300.6373408868313,2.5801465159746426
0.7499866485595703,0.6687164306640597,-30.491178110241894,-0.03531467536248267,-301.61725997014855,38.80862336397555,-0.08077535276361192,310.1278349535214,2.604704948890466
0.7999851703643799,0.6667383015155764,-30.487657710909847,-0.03532492342611282,-299.52469552003555,36.182447728791516,-0.08047389659521482,307.50577213961304,2.586845611938938
0.8500347137451172,0.6644546985626193,-30.48976063728333,-0.035364751971191266,-292.476416950425,53.57869829473681,-0.08687054795739237,304.95749936398187,2.951064730471179
0.9000458717346191,0.6678298115730258,-30.49278557300568,-0.03534214412861325,-293.6710123692048,48.42571868457181,-0.08114283057595265,304.73510518247497,2.6241860322345754
0.9500179290771484,0.6700463593006106,-30.487981811165813,-0.03532296862906059,-278.4018063447878,32.91769262419371,-0.0799607117439763,286.18416888831433,2.5575542874738186
1.0000290870666504,0.6691150367259951,-30.491723865270618,-0.03529423328437731,-269.72518112543736,23.109601180215932,-0.06935728370086208,275.65590406095714,1.9516690262059182
1.0499751567840576,0.6688654422759982,-30.49048148095608,-0.035300281556025714,-265.03496717491817,33.270740425375934,-0.07608423597719219,273.24717763675886,2.336748460186753
1.1000416278839111,0.6616383790969821,-30.492603033781055,-0.03537050029146527,-287.96762588714375,47.667762433549896,-0.08204196737200427,299.0249068570345,2.6740780873986423
1.149993658065796,0.6642609834670993,-30.49142956733704,-0.03531213546795553,-318.2693519563173,40.00624482931293,-0.08631743140589447,326.6321655289942,2.922388190059663
1.2000329494476318,0.6689585745334597,-30.4934673011303,-0.03537701608223642,-327.17776256836754,20.112076176816124,-0.08950134775357715,331.72939814681695,3.1010957737340767
1.2583367824554443,0.6631061434745761,-30.484098196029667,-0.035372247219945585,-333.3253101442603,29.76754970260322,-0.08915812759958956,339.37961531136506,3.081703943149102
1.308267593383789,0.6655164062976809,-30.48839718103409,-0.03529466396068681,-353.3702885137823,56.07841942044226,-0.09130060969377939,364.4655880901825,3.208904318144926
1.3583989143371582,0.6676770746707889,-30.488417670130733,-0.035323991948438715,-346.30931352368464,54.84019607956787,-0.09827042771203456,357.31499314909314,3.6065651046453873
1.400085687637329,0.663597881793973,-30.492169037461284,-0.03531397473906894,-334.4349584304384,45.07180585293706,-0.08502390679146109,343.51267333794124,2.8481693064841647
1.4583427906036377,0.6592579185962649,-30.48851825296879,-0.03534374267401219,-317.0429018983757,38.06388703451426,-0.08394556319166595,325.0139914266279,2.7846791923138903
1.5000183582305908,0.6631806492805453,-30.489799752831463,-0.035388999024440926,-315.09181500157933,36.27297582854931,-0.08586041918698796,322.7359376979954,2.8917993613454325
1.55842924118042,0.6608560681343051,-30.488311499357227,-0.03534297503105166,-300.92380581800836,42.37961864519775,-0.09027276861783229,310.26286198726837,3.1472453420473063
1.6083965301513672,0.6635271012783023,-30.487717315554622,-0.03531556590711182,-300.92149956276626,41.96368070445701,-0.08765070308343575,310.16565474437465,2.998582480441574
1.6584084033966064,0.6683588027954074,-30.49275949597359,-0.035356298547739806,-333.001232798463,49.58000950590833,-0.09145330238074538,343.14289253163804,3.2141215629604214
