Run,Mean Position Error,Mean Angle Error
1,76.9545,3.3978
2,74.2300,3.4597
3,72.6011,3.4396
4,73.9077,3.3577
5,73.6720,3.3271
6,71.9923,3.3974
7,75.0369,3.2157
8,71.0610,3.4449
9,76.7854,3.1030
10,74.7615,3.3224

Average,74.1002,3.3465
