Run,Mean Position Error,Mean Angle Error
1,151.3448,11.0185
2,151.3489,11.0210
3,151.3562,11.0212
4,151.3313,11.0208
5,151.3686,11.0292
6,151.3465,11.0199
7,151.3373,11.0183
8,151.3405,11.0186
9,151.3500,11.0265
10,151.3355,11.0193

Average,151.3460,11.0213
