Algorithm,square2,eight22,square22,eight2,square2_pose_0,square2_pose_1,eight22_pose_0,eight22_pose_1
amcl,"81.9813, 4.9702","96.9623, 4.1367","109.1910, 2.3958","77.9415, 4.3120","180.0432, 6.8125","569.7604, 13.7940","202.7835, 6.1801","537.3178, 8.6030"
mrpt,"80.0989, 4.5547","96.6609, 4.1567","162.4522, 5.6428","180.4738, 12.0787","80.1483, 4.5422","80.8818, 4.4778","96.6630, 4.1828","105.2971, 4.3685"
