Run,Mean Position Error,Mean Angle Error
1,158.6622,4.6610
2,156.9627,4.8545
3,156.6370,4.8019
4,155.0019,4.6482
5,159.8398,5.2988
6,158.5932,5.1991
7,156.5013,4.4731
8,156.2974,4.9078
9,158.0577,5.1387
10,156.9168,4.5920

Average,157.3470,4.8575
