Run,Mean Position Error,Mean Angle Error
1,578.6686,78.8500
2,578.6396,78.8433
3,578.6910,78.8505
4,578.6823,78.8522
5,578.6870,78.8524
6,578.6673,78.8439
7,578.6726,78.8449
8,578.6739,78.8492
9,578.6560,78.8504
10,578.6750,78.8481

Average,578.6713,78.8485
