time_stamp[s],x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm],num_particles,valid_pose
1.024909257888794,-7.796931080520153,6.661146879196167,0.01469752959048274,-84.01981982583172,27.39626620321177,-0.03649628044128885,78.99287272951472,2.933189252015007,1036.0,1
1.124953269958496,-7.801632396876812,6.66293129324913,0.014644169548047047,-86.58754846318729,55.711658924795096,-0.06484431181085942,92.80624037574898,4.55435450176966,1036.0,1
1.2249209880828857,-7.800026331096888,6.668936461210251,0.014724706843633131,-83.24329344665371,52.29402510668338,-0.04374487092381953,88.16652010245464,3.350060035986988,1036.0,1
1.324983835220337,-7.791466079652309,6.661687046289444,0.014682435670812708,-76.8489446663361,30.64374879910188,-0.05578533851502838,73.10317800660924,4.037506052529626,1036.0,1
1.424922227859497,-7.798710837960243,6.662163883447647,0.014667524269399091,-123.9986500421905,42.98672426037795,-0.0323037497442667,121.74522396235535,2.691255759335568,1036.0,1
1.5249192714691162,-7.78429489582777,6.657861173152924,0.014663510355451674,-92.19140125954937,51.580492705448776,-0.06501574991852643,95.6169568041309,4.565285328423349,1036.0,1
1.6249573230743408,-7.792981807142496,6.663475185632706,0.014667383746396267,-50.445682292987215,8.568563673948285,0.0032311515968396556,42.69522480188494,0.6552478357014191,1036.0,1
1.724961280822754,-7.796322461217642,6.659921258687973,0.01470204244711167,-65.04860141837885,12.535592641913013,-0.017666010327189084,57.552992624122105,1.8545528150241488,1036.0,1
1.824955940246582,-7.802161853760481,6.662394851446152,0.014736491493607791,-79.63566423467664,51.996388705359834,-0.06044786180084981,84.94246913679736,4.307746129192927,1036.0,1
1.9249637126922607,-7.805648259818554,6.6603608429431915,0.014662936975454177,-90.99568064389071,46.450734494171115,-0.05171290582136422,92.21635062919866,3.80305565388152,1036.0,1
2.0250096321105957,-7.802275009453297,6.661213934421539,0.014709464690554739,-93.7553096244641,81.11169096696523,-0.05150137353226446,113.7136653613037,3.793601588191013,1036.0,1
2.124999523162842,-7.805603090673685,6.663564592599869,0.014682252110009867,-83.11614698187698,53.011836706220464,-0.047662884350725396,88.42986118448383,3.5721131923673175,1036.0,1
2.224985122680664,-7.808657828718424,6.661418825387955,0.014697833546458403,-56.716758497506326,71.99602072761596,-0.03199835692044856,81.61257572672797,2.6754946330927982,1036.0,1
2.3249995708465576,-7.8017148189246655,6.654772907495499,0.01471671028519619,-86.46011850043901,50.83589343565315,-0.05346400464956901,90.2170487261009,3.906467209946625,1036.0,1
2.5249483585357666,-7.804902736097574,6.6539086401462555,0.014662910279105266,-28.85279958876221,51.451419981863246,-0.0159699219204856,49.495767337537785,1.7551319995690067,1036.0,1
2.6249330043792725,-7.800455205142498,6.658323109149933,0.01469033455792935,-32.29148102985088,56.96053957575241,-0.031567937486700115,55.947505104333885,2.6504037557252693,1036.0,1
2.724932909011841,-7.799756713211536,6.665412336587906,0.014712967237866654,-109.247053888486,41.67443090990206,-0.02913909031291062,107.31815077439185,2.512537820624331,1036.0,1
2.9249558448791504,-7.799129001796246,6.665479391813278,0.014712849105835908,-31.833159820863965,49.73799466424076,-0.017814651765678924,49.32419496864998,1.863688518045907,1036.0,1
3.024897336959839,-7.804650813341141,6.6605135798454285,0.014693560503027966,-98.53645333481698,77.75794469279315,-0.03477080733445948,115.2697041709418,2.834099513370682,1036.0,1
3.124913454055786,-7.806866429746151,6.662983447313309,0.014644037305510539,-108.45309538781495,16.256953422356364,-0.008410374052731687,101.10246121317738,1.3209204699857473,1036.0,1
3.2248778343200684,-7.8039816580712795,6.664503365755081,0.014694049324356046,-79.56568596539951,42.47816336434917,-0.04541103840972165,80.20199777803113,3.4437678544261847,1036.0,1
3.324899673461914,-7.796334568411112,6.662748754024506,0.014697620991986087,-68.41990403833644,21.218440418283,-0.02001699702878475,62.34649416847611,1.9890010999989602,1036.0,1
3.424913167953491,-7.802585139870644,6.666060537099838,0.014717254792257658,-55.12223148683012,57.98237483878697,-0.03665040224910353,69.80338848444862,2.943149951945461,1036.0,1
3.5249359607696533,-7.801356725394726,6.664704531431198,0.014717203794609682,-76.9578128864032,20.565857685781005,-0.03656069846922204,70.53975820606544,2.9380073820018873,1036.0,1
3.624945640563965,-7.803678512573242,6.6658370196819305,0.01471684082149442,-92.06869399830777,39.84372832856012,-0.004848709386785649,90.56138971170228,1.1210234507857566,1036.0,1
3.724954605102539,-7.8072925098240376,6.665725260972977,0.01469363003895198,-93.56733601118002,35.56876442548919,-0.034789066029811994,90.49956206689637,2.835149643668766,1036.0,1
3.824974775314331,-7.801372557878494,6.668299436569214,0.014701745837583602,-69.0047336938,17.36745319614992,-0.05371597826975207,62.131500106670345,3.9200468352408024,1036.0,1
3.9249777793884277,-7.800270803272724,6.661858409643173,0.014705544981691089,-88.64443770742456,11.970426838367292,-0.02238026433899426,81.01827090964609,2.1248603539022013,1036.0,1
4.024956226348877,-7.800058927386999,6.660595536231995,0.014682384885426069,-91.64824701208684,41.186956626320296,-0.05243645708498234,90.67848838181173,3.8456263707099367,1036.0,1
4.124933242797852,-7.797909900546074,6.664250046014786,0.014701670287643541,-90.91410943255303,41.5284646139192,-0.01902846776742072,90.13221445233259,1.9325945529487896,1036.0,1
4.224913120269775,-7.802998181432486,6.664525717496872,0.014705238159198051,-78.56718971879552,86.80722804765932,-0.05767690470941335,106.91315887540517,4.147191298484383,1036.0,1
