Run,Mean Position Error,Mean Angle Error
1,77.9286,3.6822
2,109.6655,4.4359
3,109.6550,4.4395
4,109.6368,4.4380
5,77.9224,3.6839
6,109.6633,4.4424
7,77.9246,3.6841
8,77.9286,3.6822
9,109.6449,4.4391
10,109.6530,4.4398

Average,96.9623,4.1367
