Run,Mean Position Error,Mean Angle Error
1,361.7747,54.9876
2,365.4689,56.5563
3,360.7904,55.7920
4,362.3780,54.9043
5,366.1180,57.4066
6,364.1971,55.7414
7,357.5077,52.8738
8,362.5795,55.3260
9,356.3116,53.8484
10,385.0437,62.1220

Average,364.2170,55.9558
