Run,Mean Position Error,Mean Angle Error
1,4807.0834,58.2050
2,4849.6692,64.7995
3,4348.4437,64.9804
4,4771.4119,63.2300
5,4862.6925,61.2129
6,4808.5633,77.6660
7,4927.7007,63.5652
8,4418.9413,57.2134
9,4770.9682,57.4134
10,4646.1839,57.2966

Average,4721.1658,62.5582
