Run,Mean Position Error,Mean Angle Error
1,377.7375,57.5146
2,381.5742,58.9524
3,383.1491,59.5345
4,391.2544,61.9336
5,384.9338,60.7495
6,391.7837,61.8751
7,387.8350,61.4874
8,382.3455,59.9942
9,390.7954,61.2666
10,383.3704,60.5717

Average,385.4779,60.3880
