Run,Mean Position Error,Mean Angle Error
1,80.3060,4.5231
2,83.1720,4.5311
3,81.8830,4.4710
4,81.0469,4.3996
5,81.1050,4.4770
6,79.8664,4.5220
7,78.9316,4.4413
8,81.4087,4.4932
9,80.7450,4.5336
10,80.3538,4.3857

Average,80.8818,4.4778
