Run,Mean Position Error,Mean Angle Error
1,58.5870,2.9850
2,58.5992,2.9929
3,58.5423,2.9874
4,58.5728,2.9869
5,58.5528,2.9872
6,58.5551,2.9915
7,58.5798,2.9876
8,58.5591,2.9786
9,58.5729,2.9878
10,58.5927,2.9813

Average,58.5714,2.9866
