Run,Mean Position Error,Mean Angle Error
1,64.1749,3.6571
2,64.1483,3.6618
3,64.1623,3.6577
4,64.1603,3.6584
5,64.1501,3.6567
6,64.1689,3.6603
7,64.1759,3.6593
8,64.1649,3.6593
9,64.1597,3.6583
10,64.1558,3.6579

Average,64.1621,3.6587
