Algorithm,square1_pose_0,square1_pose_1,square1_pose_2,square1_pose_3,square1_pose_4,eight1_pose_0,eight1_pose_1,eight1_pose_2,eight1_pose_3,eight1_pose_4
amcl,"64.1544, 3.6616","89.6047, 4.9063","151.3460, 11.0213","1135.3394, 86.7461","1187.6243, 88.7154","58.5554, 2.9875","85.7227, 3.7022","134.4091, 11.8479","592.4298, 54.4093","830.4121, 91.5195"
mrpt,"72.9390, 3.6799","72.5251, 3.7059","73.8990, 3.6790","73.6599, 3.6701","73.3265, 3.6853","73.4563, 3.4883","72.4035, 3.4689","72.8984, 3.4675","72.7841, 3.4363","73.3523, 3.3880"
