Run,Mean Position Error,Mean Angle Error
1,72.3641,3.6711
2,71.8903,3.7720
3,70.4357,3.8724
4,70.4127,3.7762
5,68.6292,3.6754
6,74.8261,3.7197
7,71.6128,3.6415
8,72.8606,3.6047
9,77.0903,3.7377
10,76.7866,3.7094

Average,72.6908,3.7180
