time_stamp[s],x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm],num_particles,valid_pose
6.2246904373168945,208.9182287454605,45.07526010274887,0.4966851335932558,206.6265349850795,26.861211857775988,0.4188665696239527,18.357652730171388,4.458675283209883,101.0,1
6.324601173400879,222.72461652755737,53.3440001308918,0.5620832459513272,214.24809614040277,33.43657333499581,0.48146710442602564,21.6369369252629,4.618964670029118,101.0,1
6.407963752746582,233.9656949043274,60.823116451501846,0.6170309722568567,219.9663976656351,37.77167289732239,0.5384545093737425,26.969415512924623,4.502099692268805,101.0,1
6.507925748825073,246.48424983024597,70.77522575855255,0.6871609736169584,235.16446138587523,47.865724300524285,0.5974338861872467,25.553529452518074,5.140983417723822,101.0,1
6.582951068878174,255.60635328292847,78.35850119590759,0.7435797023624579,251.0229310248202,56.52643110322083,0.6478503486570637,22.30800403729814,5.484887942834133,101.0,1
6.6413140296936035,262.5426948070526,84.49484407901764,0.7876999178016185,265.264826508043,64.64886097502962,0.7069071425602491,20.03180087663899,4.629085036479518,101.0,1
6.7246034145355225,271.9394266605377,92.91587769985199,0.852603720432126,274.88380450177453,75.49091169229779,0.7711290678996814,17.671977852984817,4.668153727403938,101.0,1
6.8079187870025635,279.10080552101135,104.84923422336578,0.9138465315314437,286.51022938761594,84.57997408139629,0.8305889423005492,21.581067367900108,4.7703084753641045,101.0,1
6.882937431335449,287.2667908668518,114.30592834949493,0.9758327709574471,291.27002435641737,93.34452422315182,0.8911784381910407,21.340251669552853,4.850335985011124,101.0,1
6.966279029846191,293.68674755096436,126.20188295841217,1.0415291590459794,296.25140536441404,102.17367186993502,0.9523047390122297,24.1646932074981,5.112182697436371,101.0,1
7.0246264934539795,298.08181524276733,134.84996557235718,1.0893399690698797,300.71233263326394,111.40356415289031,1.0139288581803092,23.59350252218782,4.320738382365435,101.0,1
7.099698066711426,304.0449321269989,144.62926983833313,1.1518190895924119,305.5040870489967,122.23866684693569,1.0794176369695847,22.438097856208014,4.14829766590438,101.0,1
7.1829705238342285,308.0882728099823,157.64158964157104,1.2198324550158333,311.7657374686439,138.07853940937503,1.1552074728712172,19.905694680244896,3.702738727994806,101.0,1
7.266338109970093,312.8492832183838,169.63326930999756,1.2902686702217947,314.75544827151253,150.6989216886588,1.2098698830389176,19.030054783301757,4.606511183549354,101.0,1
