Run,Mean Position Error,Mean Angle Error
1,1346.4827,96.9614
2,1346.4562,96.9451
3,1346.4449,96.9287
4,1346.4760,96.9277
5,1346.4587,96.9378
6,1346.5132,96.9474
7,1346.4970,96.9475
8,1346.4675,96.9502
9,1346.5047,96.9450
10,1346.4688,96.9387

Average,1346.4770,96.9429
