x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010609626770019531,0.006139278411865234,2.3902581660184552e-05,0.0,0.0,0.0,0.012257851345872555,0.0013695170485953792
-0.0054836273193359375,0.0058710575103759766,3.9020184801730196e-05,0.0,0.0,0.0,0.008033647046485773,0.002235691904959659
-0.006318092346191406,0.01043081283569336,-7.118501740510652e-06,0.0,0.0,0.0,0.012195087015198693,0.00040786010618779105
-0.0069141387939453125,0.006109476089477539,-1.3688284719037824e-05,0.0,0.0,0.0,0.009226646918021589,0.0007842809431742851
0.000476837158203125,0.0040531158447265625,-2.53700221719555e-07,0.0,0.0,0.0,0.004081068699031756,1.4535951966063721e-05
-0.00286102294921875,0.005900859832763672,1.6023827962285964e-06,0.0,0.0,0.0,0.00655786543639621,9.180977138826999e-05
0.0,-8.940696716308594e-05,-6.646530836662556e-05,0.0,0.0,0.0,8.940696716308594e-05,0.003808181653443204
-0.0045299530029296875,0.008821487426757812,-5.672564510761369e-05,0.0,0.0,0.0,0.009916608020346366,0.0032501400548231906
-0.007271766662597656,0.008165836334228516,1.1428483876363416e-05,0.0,0.0,0.0,0.01093432546765795,0.0006548038923489346
-0.0054836273193359375,0.002771615982055664,-4.691811901680332e-05,0.0,0.0,0.0,0.006144267550274306,0.0026882102023553177
-0.0054836273193359375,0.003427267074584961,-4.5729607833777663e-05,0.0,0.0,0.0,0.006466554583230671,0.002620113527663847
-0.005125999450683594,0.006109476089477539,-2.5355504700286247e-05,0.0,0.0,0.0,0.007975059150646236,0.0014527634067505232
-0.0002384185791015625,0.0006258487701416016,-6.837712921425876e-06,-1398.1594096338947,1230.63682940561,-1.4615958263098299,1862.6096030994497,83.74288042939746
-0.0054836273193359375,0.003248453140258789,-3.445197452345283e-05,-1291.3999158920308,1176.3042364227927,-1.1044729161178037,1746.820996548495,63.27966272732066
-0.0002384185791015625,0.0073909759521484375,-5.05589487642677e-05,-1172.7394879532371,1163.9255752762824,-0.9675513242752475,1652.2780901361884,55.43371052888458
