Run,Mean Position Error,Mean Angle Error
1,1193.3655,152.0409
2,1251.9120,174.4978
3,1169.8514,156.5316
4,1170.5646,157.1221
5,1170.8343,158.0121
6,1170.0422,155.5436
7,1163.7459,152.3797
8,1169.6329,156.6068
9,1169.3981,157.9453
10,1169.1087,154.3357

Average,1179.8456,157.5016
