Run,Mean Position Error,Mean Angle Error
1,70.0699,3.3974
2,70.1671,3.5918
3,76.8605,3.5969
4,72.8241,3.5185
5,73.1908,3.5132
6,72.1054,3.5325
7,77.2696,3.6843
8,71.3760,3.6193
9,70.6262,3.6840
10,71.5891,3.4395

Average,72.6079,3.5577
