Run,Mean Position Error,Mean Angle Error
1,1153.3998,153.2894
2,1160.9869,157.2769
3,1160.6595,156.1112
4,1160.2366,157.7091
5,1158.2296,154.8448
6,1159.9322,157.5245
7,1162.1364,158.2442
8,1158.0305,155.2341
9,1159.0278,155.9927
10,1244.9047,175.4464

Average,1167.7544,158.1673
