Run,Mean Position Error,Mean Angle Error
1,96.2308,3.9394
2,99.1766,4.0163
3,98.9961,4.1196
4,97.4156,3.8488
5,99.2867,4.0195
6,98.8761,3.9562
7,97.8210,3.9407
8,98.4026,4.0303
9,95.6465,3.8646
10,96.6775,4.0580

Average,97.8529,3.9793
