Run,Mean Position Error,Mean Angle Error
1,95.5401,4.0155
2,99.3618,4.0615
3,98.9912,4.1053
4,100.0345,4.1895
5,96.7505,3.9619
6,102.9517,3.8507
7,101.6212,3.9264
8,97.2218,3.9371
9,93.9570,3.8480
10,103.5538,4.3114

Average,98.9984,4.0207
