Algorithm,square2,eight22,square22,eight2,square2_pose_0,square2_pose_1,square2_pose_2,square2_pose_3,square2_pose_4,eight22_pose_0,eight22_pose_1,eight22_pose_2,eight22_pose_3,eight22_pose_4
amcl,"71.6986, 4.7776","92.9325, 5.0357","175.9858, 3.5283","93.2549, 3.0060","117.0996, 5.8544","2744.0158, 3.3930","2933.7772, 5.2124","2969.7008, 5.5548","4394.1623, 13.4953","137.3076, 5.3322","701.6867, 8.8695","1811.5096, 11.1172","2997.0856, 6.1066","3395.4657, 6.1803"
mrpt,"84.6437, 4.1117","97.3148, 4.1607","162.9771, 4.3727","139.2883, 3.4416","84.3078, 4.0838","85.2625, 4.1872","2474.9380, 60.8996","2818.0836, 63.3021","2861.2574, 59.7641","97.5918, 4.0989","102.5538, 4.2084","2900.9443, 59.1399","2801.8756, 61.1430","2771.2463, 57.6978"
