Run,Mean Position Error,Mean Angle Error
1,75.2742,3.5417
2,73.0901,3.5094
3,74.0898,3.6559
4,76.5153,3.5247
5,77.6271,3.5584
6,71.1887,3.4945
7,76.5797,3.5131
8,75.0711,3.6503
9,77.0677,3.4888
10,77.3106,3.5073

Average,75.3814,3.5444
