Run,Mean Position Error,Mean Angle Error
1,96.9768,4.1056
2,99.0860,4.0937
3,97.8516,4.0932
4,96.4444,4.1892
5,98.3589,4.0559
6,97.5770,3.9970
7,95.8650,4.1977
8,98.0981,4.1823
9,96.9369,4.1031
10,98.3348,4.0206

Average,97.5529,4.1038
