Run,Mean Position Error,Mean Angle Error
1,135.5980,5.0311
2,99.2872,4.1969
3,119.1894,4.5680
4,94.1902,4.1407
5,97.4881,4.0707
6,99.1358,4.2063
7,115.5632,4.5802
8,98.3288,4.1944
9,97.1498,4.2298
10,97.0403,4.4674

Average,105.2971,4.3685
