Run,Mean Position Error,Mean Angle Error
1,73.8997,3.6317
2,72.1384,3.5791
3,73.6459,3.6678
4,73.5877,3.6504
5,73.9269,3.6975
6,73.5460,3.6387
7,71.8390,3.6349
8,73.1378,3.7422
9,74.9898,3.7306
10,75.8875,3.7280

Average,73.6599,3.6701
