Algorithm,square1,eight1,square12,eight12,square1_pose_0,square1_pose_1,square1_pose_2,square1_pose_3,square1_pose_4,eight1_pose_0,eight1_pose_1,eight1_pose_2,eight1_pose_3,eight1_pose_4
amcl,"64.1621, 3.6587","58.5714, 2.9866","97.7012, 3.9849","73.7223, 3.6708","110.4389, 4.0759","680.1980, 3.8148","2820.3719, 2.1240","3019.0843, 1.8726","4987.5951, 23.3459","120.3692, 3.7316","527.9423, 5.1269","2410.5015, 3.8974","2852.8734, 4.2474","4917.3739, 22.6703"
mrpt,"73.2022, 3.7166","73.1681, 3.4332","745.4081, 47.4797","74.1725, 3.4354","72.0540, 3.6848","213.4926, 10.1628","1469.3313, 68.2335","3476.5918, 64.9399","4773.7104, 61.3249","73.0554, 3.3709","145.0397, 4.0572","806.9967, 10.4821","4368.9916, 65.4041","4761.6367, 72.1621"
