Run,Mean Position Error,Mean Angle Error
1,680.1754,3.8182
2,680.1980,3.8172
3,680.1864,3.8143
4,680.2014,3.8140
5,680.2181,3.8140
6,680.1987,3.8143
7,680.1996,3.8156
8,680.2050,3.8152
9,680.1992,3.8131
10,680.1980,3.8119

Average,680.1980,3.8148
