Run,Mean Position Error,Mean Angle Error
1,1204.0753,71.5652
2,949.2277,28.4837
3,992.3331,33.6010
4,958.3500,29.5370
5,949.0614,29.8525
6,915.9755,56.4785
7,968.7489,29.5160
8,1051.6451,67.7347
9,1087.2520,33.0882
10,968.3133,64.3873

Average,1004.4982,44.4244
