Run,Mean Position Error,Mean Angle Error
1,85.7248,3.6998
2,85.7046,3.7025
3,85.7319,3.7101
4,85.7205,3.6968
5,85.7101,3.7019
6,85.7442,3.7012
7,85.7175,3.7001
8,85.7197,3.7010
9,85.7317,3.7067
10,85.7223,3.7022

Average,85.7227,3.7022
