Run,Mean Position Error,Mean Angle Error
1,97.0944,4.1364
2,97.0361,4.1634
3,96.0203,4.4708
4,95.0645,4.0646
5,96.0820,4.1686
6,98.5640,4.0300
7,96.0635,4.1428
8,95.7445,4.0638
9,96.5517,4.1563
10,98.3876,4.1705

Average,96.6609,4.1567
