Run,Mean Position Error,Mean Angle Error
1,85.3915,4.1328
2,85.5415,4.2243
3,86.4391,4.2069
4,83.9917,4.1637
5,83.7596,4.1026
6,87.1887,4.2620
7,84.9623,4.2869
8,84.5195,4.2261
9,85.0494,4.1395
10,85.7818,4.1273

Average,85.2625,4.1872
