time_stamp[s],x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm],num_particles,valid_pose
4.883411169052124,47.305136919021606,-0.002808868885040283,0.07896507334437906,120.59104535077438,-1.3805495482684194,0.027732320521102895,73.2988577267537,2.9354205096106774,1000.0,1
5.066814184188843,75.43755322694778,1.5399456024169922,0.13413612102117525,170.45863378091119,8.953059232109874,0.061887490650901704,95.3098106352622,4.139541595817377,1000.0,1
5.22513747215271,101.75309330224991,5.894716829061508,0.17935837227039567,201.3507363306104,12.895118341112237,0.10363239224920714,99.84335790694665,4.3387790547060945,1000.0,1
5.383336782455444,125.56393444538116,10.620884597301483,0.24414218302602186,254.6997191348773,20.210390482229975,0.16624627969838313,129.4913491724022,4.4631065020327645,1000.0,1
5.525073528289795,146.9177007675171,15.446078032255173,0.3052006473131758,288.3586581355473,30.77754721416151,0.23145009468396766,142.26945690646562,4.225595402411083,1000.0,1
5.641727685928345,162.76024281978607,21.596405655145645,0.3699020070629861,315.02040020310716,37.708517424004825,0.29428394372552286,153.1102729148045,4.332595884189588,1000.0,1
5.741797924041748,177.4407923221588,27.19436027109623,0.42417054906478346,350.87021336651713,43.36323005349873,0.3512819509129713,174.18150428165904,4.176209048723888,1000.0,1
5.841874837875366,192.06321239471436,34.114595502614975,0.4828774638274653,371.6258011636008,50.17421408623772,0.41419980697695513,180.27932392383676,3.9349398843819596,1000.0,1
5.941877126693726,206.01508021354675,42.361997067928314,0.5470990756225117,392.92164915499956,58.714179206325774,0.48172494647614944,187.62051959781311,3.7456616894297405,1000.0,1
6.041781425476074,219.93166208267212,51.19561031460762,0.6124256021298559,414.29109338776885,66.95414068102302,0.5445877292562735,194.99723027917565,3.886823806801282,1000.0,1
6.1250786781311035,230.6530624628067,59.484679251909256,0.6718273382403372,422.51415853575014,76.39840463773253,0.600348361096383,192.60517722205256,4.095443714260653,1000.0,1
6.20009446144104,239.95867371559143,67.47247278690338,0.7266135725619054,440.2448270723095,86.33655376961794,0.6549036599182048,201.172554732879,4.108675343735866,1000.0,1
6.258378028869629,246.70074880123138,73.15664738416672,0.7698723858748315,453.2156394502248,96.38905828197993,0.7090904150707831,207.81757619578408,3.4825503975593675,1000.0,1
6.341749668121338,256.16559386253357,82.4846625328064,0.83436558678286,454.8450299914956,107.81500541668011,0.7689602823094778,200.2876546648268,3.7474479040929247,1000.0,1
6.416767120361328,264.3285393714905,90.79191833734512,0.8952929408071849,470.0557793045233,114.2213633232672,0.829489451783636,207.0570842613505,3.7702621982847924,1000.0,1
6.500126361846924,271.67582511901855,102.05265134572983,0.958036756241281,486.23305016312025,117.31336444177077,0.8920562405098967,215.09926123263412,3.780405081504855,1000.0,1
6.558422803878784,276.52859687805176,109.71033573150635,1.0046231032411927,496.0150981947914,130.74158350668085,0.9573470353992025,220.49180856268546,2.708719159320194,1000.0,1
6.6417553424835205,283.8514447212219,122.03362584114075,1.0713369870050675,501.47224758218977,142.62323709401304,1.0111567027679715,218.59264838826724,3.448076296683275,1000.0,1
6.71671986579895,288.81242871284485,133.30145180225372,1.1335000331854213,501.5826545404872,153.74370680214287,1.0680849329608946,213.7499819607628,3.7480091592906626,1000.0,1
6.800110816955566,294.3192720413208,145.39100229740143,1.201560571307182,506.4460206695044,165.53661322425032,1.1396694976632158,213.08121250636003,3.5460973093326267,1000.0,1
6.883405923843384,298.61360788345337,157.78149664402008,1.2720189929009995,503.7514675962781,180.4739581606965,1.1976500506913415,206.38916952506105,4.26102651546573,1000.0,1
6.941814422607422,301.35875940322876,166.33154451847076,1.322277785248726,499.6136872144774,190.97966640687065,1.2572574571333563,199.7812461520571,3.725390383566485,1000.0,1
7.016736030578613,303.7301301956177,178.22813987731934,1.3859226471149009,498.30510811015483,199.09824210213975,1.3241451520838592,195.69104015594857,3.5395897341691027,1000.0,1
7.100127935409546,306.30767345428467,191.4156675338745,1.4577520344942694,499.0687209470192,211.8773876856817,1.3840703474258258,193.8440182777563,4.221649696425473,1000.0,1
7.175066947937012,307.17429518699646,204.1817456483841,1.5217161914396442,489.66944048047867,226.70086846402546,1.4530606091495795,183.8792781910869,3.9336751052338292,1000.0,1
7.24176287651062,307.78008699417114,215.69208800792694,1.5790874101567773,480.8339968759471,242.1234365251867,1.52708039300645,175.06076633503773,2.9797825877782436,1000.0,1
7.316728830337524,307.220458984375,229.16783392429352,1.6401286727789177,465.7480589115621,257.2141554298782,1.592611238624021,160.98942849972764,2.7225484303663703,1000.0,1
7.4001007080078125,305.7536482810974,243.6618208885193,1.710766520326337,467.356040397249,269.34184387531775,1.6532399982312056,163.63006055815327,3.2960269261171025,1000.0,1
7.475106954574585,305.5290877819061,248.69045615196228,1.7658687703135998,457.1338915279401,282.2210309914323,1.7173278113928796,155.26852858174053,2.7811920796751703,1000.0,1
7.541781187057495,302.9961884021759,256.481796503067,1.8280262222881636,440.6426352117366,291.45810662022575,1.7679359464760758,142.02072591248393,3.4429191938096873,1000.0,1
7.616775989532471,299.68684911727905,269.2584991455078,1.8913947566238751,417.62422569279175,303.7091597016252,1.8350031862030607,122.86607671064911,3.2309989852274392,1000.0,1
7.700084209442139,293.95395517349243,286.75973415374756,1.9563803456704367,396.957325983618,316.2018560321905,1.9003927571362365,107.12858133548353,3.2078525281247146,1000.0,1
7.775089740753174,288.8733148574829,298.25931787490845,2.0083951410699625,377.1601023358897,330.0617926587871,1.9505674792726095,93.84004606582737,3.313280960098231,1000.0,1
