time_stamp[s],x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm]
0.07503151893615723,0.666097551584241,-30.490406975150112,-0.03533758064735015,-280.4589344427552,54.997172933565274,-0.07917353081136833,293.83568526043155,2.51161493534405
0.12504315376281738,0.6655462086200686,-30.493741109967235,-0.0353261554496358,-289.18224370940845,50.64412417617741,-0.0780839655347477,300.99019004538695,2.449842059098819
0.17502498626708984,0.6659671664237948,-30.49150034785271,-0.03538751802676465,-304.0869654198846,41.41926378402522,-0.08500105121632752,313.1221932696334,2.842646058494186
0.22504186630249023,0.661645829677579,-30.494443327188495,-0.035351466127587106,-310.8178696218507,44.51759532467258,-0.08812453994178009,320.3846040130942,3.023674401485619
0.2750244140625,0.6702810525894137,-30.495465919375423,-0.03538614571086174,-297.196737213954,38.041272576194544,-0.08157182711154107,305.65020054731104,2.64624461819479
0.3250386714935303,0.6627559661865207,-30.497397482395176,-0.0353634412028736,-288.8635824059771,32.28906090921519,-0.08070584442690401,296.25603786008145,2.5979283377173195
0.37506937980651855,0.6640337407588931,-30.50034418702126,-0.03532158120692519,-279.96706859822507,46.40773166864017,-0.07400404216062184,290.9788097642395,2.216341753826419
0.425046443939209,0.6699308753013583,-30.497248470783237,-0.0353057831811443,-314.6200715076558,46.23765548511624,-0.0834753513674047,324.4934992997028,2.7599129580403603
0.4750676155090332,0.6634376943111392,-30.485718697309498,-0.03540414632664968,-330.69588810384863,49.39548751088833,-0.08425158938195482,340.8518885068522,2.7987523270746077
0.5249974727630615,0.6601110100746127,-30.48859834671021,-0.03534226141042285,-325.70955775357424,61.46131650881921,-0.08790797022994902,339.0751355243156,3.0117932624724584
0.5750541687011719,0.6648756563663455,-30.49275949597359,-0.035347086318287646,-330.6269081726247,56.764116646243416,-0.0864136459005758,342.59014648219693,2.925898338318464
0.6250441074371338,0.6637655198574038,-30.48968426883221,-0.035359486438391485,-310.43540764353287,56.50635156957138,-0.08787205400209172,323.0340629013323,3.008748492795607
0.6749987602233887,0.6687164306640597,-30.491178110241894,-0.03531467536248267,-307.30267660879036,66.75756606403553,-0.0848294777264936,322.9608291637489,2.8369891988822173
0.6833348274230957,0.6663322448730441,-30.49186728894711,-0.03532843920234097,-307.30267660879036,66.75756606403553,-0.0848294777264936,322.958763159918,2.836200588948443
0.7750468254089355,0.6644546985626193,-30.48976063728333,-0.035364751971191266,-295.57212393553783,66.9834595523673,-0.08965168846840986,311.8607688937127,3.110412343985338
0.8250579833984375,0.6678298115730258,-30.49278557300568,-0.03534214412861325,-278.71379686289885,52.74835572233542,-0.08144387477439383,291.5187488437492,2.641434594252154
0.8750300407409668,0.6700463593006106,-30.487981811165813,-0.03532296862906059,-299.11610016317786,28.532156281979763,-0.07603348560701365,305.5406852570225,2.3325408046323926
0.9250411987304688,0.6691150367259951,-30.491723865270618,-0.03529423328437731,-302.07977520414386,20.99438234449131,-0.08848980851205694,307.09560347670424,3.047881949316716
0.974987268447876,0.6688654422759982,-30.49048148095608,-0.035300281556025714,-296.21968563492163,27.015188333089807,-0.08355861551009137,302.4065373325779,2.7649988619008403
1.0250537395477295,0.6616383790969821,-30.492603033781055,-0.03537050029146527,-299.05781716804506,45.879446666456545,-0.08059262089356566,309.2966892950696,2.5910366511319616
1.0750057697296143,0.6642609834670993,-30.49142956733704,-0.03531213546795553,-309.3975922612249,55.03811479056427,-0.08368847644376737,321.6421237891628,2.771760166199805
1.1250450611114502,0.6689585745334597,-30.4934673011303,-0.03537701608223642,-313.54543774094867,66.16949771404256,-0.09135013555304633,328.7467348239788,3.2070235118589396
1.1833488941192627,0.6631061434745761,-30.484098196029667,-0.035372247219945585,-313.94361304236105,81.07459832608922,-0.0901948389021557,333.8004351803476,3.1411031253596513
1.2332797050476074,0.6655164062976809,-30.48839718103409,-0.03529466396068681,-313.8063226831775,67.8096045079519,-0.08731143066491967,329.4769107484842,2.9803411960691673
1.2834110260009766,0.6676770746707889,-30.488417670130733,-0.035323991948438715,-318.4064175321138,53.40259250181687,-0.08894883274073717,329.9181405088376,3.072477054459675
1.3250977993011475,0.663597881793973,-30.492169037461284,-0.03531397473906894,-265.38439310823134,38.76872020754413,-0.07789900656290952,274.91563121953885,2.4399425939363635
1.383354902267456,0.6592579185962649,-30.48851825296879,-0.03534374267401219,-236.8809637071864,18.25144462608333,-0.07179317953076197,242.48905309617035,2.088398897520352
1.4250304698944092,0.6631806492805453,-30.489799752831463,-0.035388999024440926,-261.09185856857573,8.71061824283774,-0.07098203813297256,264.6740888847578,2.0393309209629447
1.4834413528442383,0.6608560681343051,-30.488311499357227,-0.03534297503105166,-273.1524762587365,38.74641112949651,-0.07334197482901149,282.4308548608663,2.1771823141415663
1.5334086418151855,0.6635271012783023,-30.487717315554622,-0.03531556590711182,-286.88500357045467,66.02997014533513,-0.08388461692126573,303.3147234874538,2.782801638066609
1.5834205150604248,0.6683588027954074,-30.49275949597359,-0.035356298547739806,-294.8879068964626,59.55444273599337,-0.08441680980198678,308.96926194023763,2.8109602356224284
1.6333978176116943,0.6674945354461642,-30.490105226635936,-0.035355633795567165,-287.2812840230054,46.385701152848185,-0.08254746552715907,298.0342072309823,2.7038927857117714
1.6834025382995605,0.6728626787662478,-30.49513064324856,-0.03528152219085845,-275.1395750548759,24.67457527096607,-0.0750998399957133,281.27601614648046,2.281421557528804
1.7333869934082031,0.6669133901596042,-30.494905263185505,-0.03533905448452623,-279.21290776654524,31.62449035615654,-0.07633430821067566,286.6906583808085,2.348855018576324
