Run,Mean Position Error,Mean Angle Error
1,885.0993,95.1428
2,885.1247,95.1447
3,882.8106,95.0652
4,877.1278,95.0926
5,885.1183,95.1391
6,881.0992,95.0846
7,885.0915,95.1236
8,883.0556,95.1559
9,887.0582,95.1283
10,885.0432,95.0957

Average,883.6628,95.1172
