Run,Mean Position Error,Mean Angle Error
1,99.2161,3.8791
2,100.7975,4.0185
3,99.3377,3.9995
4,93.9007,3.9991
5,97.3624,3.8578
6,98.5942,3.9558
7,99.1575,3.9572
8,99.9608,4.0369
9,98.7930,3.8861
10,97.8739,3.9704

Average,98.4994,3.9560
