Run,Mean Position Error,Mean Angle Error
1,93.2630,3.0059
2,93.2326,3.0089
3,93.2351,2.9993
4,93.2435,3.0060
5,93.2559,3.0086
6,93.2509,3.0093
7,93.2613,3.0000
8,93.2532,3.0115
9,93.2612,3.0011
10,93.2921,3.0090

Average,93.2549,3.0060
